,"消費者物價基本分類暨項目群指數",
,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"98年5月",88.82,77.14,95.43,93.32,98.05,89.44,96.89,82.23
"98年6月",88.73,75.87,92.00,94.33,99.29,90.16,96.61,82.82
"98年7月",88.91,76.11,88.27,94.45,99.27,90.29,97.59,83.40
"98年8月",90.52,81.12,84.74,94.47,99.94,90.14,97.43,84.19
"98年9月",89.91,80.59,82.87,93.51,99.77,89.99,96.53,84.74
"98年10月",90.26,80.02,98.93,93.52,100.11,89.71,96.29,84.43
"98年11月",89.59,77.45,98.69,93.59,101.42,89.69,96.03,84.53
"98年12月",89.16,76.53,95.69,93.53,101.21,89.82,95.87,84.93
"99年",89.93,77.87,92.02,94.18,101.51,90.32,97.04,85.79
"99年1月",89.27,76.80,91.06,93.65,102.52,89.86,96.06,84.55
"99年2月",89.74,76.44,86.52,93.97,101.81,89.82,98.36,89.34
"99年3月",88.89,76.43,84.13,93.76,101.50,90.00,96.13,85.26
"99年4月",89.64,76.95,96.00,93.82,101.79,90.27,96.48,85.91
"99年5月",89.49,76.86,95.99,93.84,101.77,90.22,96.43,84.66
"99年6月",89.80,77.13,93.44,94.84,100.92,90.13,96.40,86.53
"99年7月",90.08,77.78,90.34,94.83,100.79,89.97,98.11,85.92
"99年8月",90.09,78.44,86.83,94.75,100.96,90.10,97.71,85.66
"99年9月",90.18,78.96,85.36,94.86,100.65,90.78,97.32,85.85
"99年10月",90.78,80.21,97.78,93.86,101.39,90.76,97.38,84.72
"99年11月",90.95,80.26,99.80,93.90,101.83,90.83,97.13,85.54
"99年12月",90.26,78.19,96.97,94.10,102.13,91.15,96.99,85.57
"100年",91.21,79.63,94.66,94.99,102.97,92.14,97.55,86.88
"100年1月",90.25,78.35,91.82,94.07,103.05,91.18,97.43,84.88
"100年2月",90.93,78.51,88.33,94.45,103.30,91.32,98.51,90.33
"100年3月",90.13,77.86,86.13,94.30,104.14,91.64,96.92,86.19
"100年4月",90.80,78.38,97.94,94.43,104.20,92.10,97.00,86.50
"100年5月",90.98,79.01,98.86,94.54,103.87,92.17,96.70,86.36
"100年6月",91.54,79.70,96.19,95.67,103.60,92.38,97.26,87.37
"100年7月",91.27,79.07,92.97,95.76,102.47,92.35,98.75,86.62
"100年8月",91.30,79.68,88.71,95.85,102.34,92.47,98.39,86.80
"100年9月",91.42,80.44,86.57,95.91,102.39,92.57,97.65,87.31
"100年10月",91.91,81.03,104.91,94.94,102.18,92.46,97.63,86.50
"100年11月",91.89,81.15,103.30,95.00,102.20,92.57,97.20,86.93
"100年12月",92.09,82.40,100.22,94.98,101.85,92.47,97.14,86.71
"101年",92.97,82.94,97.04,96.09,103.42,92.82,98.21,88.75
"101年1月",92.38,81.90,93.61,95.24,102.06,92.50,98.04,92.03
"101年2月",91.15,80.17,89.79,95.14,102.13,92.29,97.11,87.66
"101年3月",91.27,80.27,87.88,95.33,102.33,92.44,97.54,87.64
"101年4月",92.11,80.03,103.52,95.31,104.33,92.70,97.90,88.56
"101年5月",92.57,81.98,101.39,95.32,103.37,92.61,98.18,88.29
"101年6月",93.16,83.22,98.18,96.70,102.22,92.88,98.46,88.93
"101年7月",93.52,84.05,94.21,96.87,102.58,92.82,99.61,88.51
"101年8月",94.43,86.61,91.17,97.07,104.29,92.81,99.30,88.38
"101年9月",94.12,85.70,89.84,97.30,104.75,92.83,98.43,88.98
"101年10月",94.05,84.46,107.84,96.27,104.74,93.10,98.54,88.17
"101年11月",93.35,83.00,105.05,96.24,104.12,93.25,97.75,88.72
"101年12月",93.58,83.93,101.99,96.26,104.15,93.63,97.64,89.09
"102年",93.71,83.99,96.86,96.96,103.88,93.78,98.53,89.20
"102年1月",93.41,83.84,96.94,96.23,104.42,93.24,97.98,88.84
"102年2月",93.85,82.51,93.12,96.39,105.71,93.42,100.80,92.62
"102年3月",92.50,81.26,91.63,96.48,104.52,93.74,97.59,88.81
"102年4月",93.08,81.89,101.47,96.48,103.95,93.66,98.16,89.10
"102年5月",93.25,83.20,100.03,96.48,103.52,93.78,97.77,88.62
"102年6月",93.72,83.60,97.88,97.54,103.52,93.96,98.26,89.38
"102年7月",93.58,82.98,94.90,97.59,103.23,93.97,99.70,88.74
"102年8月",93.69,83.66,91.21,97.66,103.66,94.00,99.38,88.99
"102年9月",94.92,87.73,89.92,97.80,104.12,93.98,99.17,89.33
"102年10月",94.66,86.93,103.89,96.85,103.47,93.69,98.53,88.28
"102年11月",93.98,85.24,102.09,96.99,103.10,93.90,97.70,88.52
"102年12月",93.89,85.06,99.25,97.07,103.39,94.06,97.37,89.19
"103年",94.83,87.14,98.10,97.82,102.64,94.39,98.46,90.38
"103年1月",94.18,84.67,95.81,96.98,103.47,93.92,98.66,93.44
"103年2月",93.81,84.64,92.52,97.07,103.48,94.18,98.76,89.85
"103年3月",93.99,85.86,90.67,97.18,103.61,94.38,97.51,90.16
"103年4月",94.62,86.11,103.02,97.21,103.35,94.49,98.26,90.41
"103年5月",94.76,86.79,101.92,97.21,103.39,94.33,98.28,90.22
"103年6月",95.25,86.78,100.04,98.67,103.72,94.60,98.79,90.75
"103年7月",95.22,86.53,97.31,98.75,103.89,94.58,99.76,90.10
"103年8月",95.64,88.35,93.69,99.09,103.60,94.49,99.62,89.97
"103年9月",95.59,88.97,92.80,99.12,102.72,94.65,98.73,90.56
"103年10月",95.66,89.83,105.84,97.68,101.69,94.30,98.46,89.53
"103年11月",94.78,88.35,103.11,97.57,100.45,94.44,97.38,89.75
"103年12月",94.46,88.74,100.46,97.34,98.30,94.34,97.36,89.86
"104年",94.54,89.86,97.55,96.71,96.65,94.67,98.44,90.63
"104年1月",93.30,88.45,96.92,94.87,96.10,94.45,97.16,89.99
"104年2月",93.62,87.26,93.09,95.02,96.74,94.38,99.52,94.09
"104年3月",93.41,87.09,91.38,96.76,97.00,94.62,97.52,90.41
"104年4月",93.84,87.39,102.44,96.16,97.18,94.44,98.10,90.41
